OM,SOCC,SOCD ,SOC Stock ,Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,TN,CEC,Delta
8.996,5.23,0.0793,158.57399999999998,1.502,31.944,10.180000000000001,64.44,25.38,8.598,0.20380000000000004,0.1506,24.390800000000002,Active
6.76,3.9299999999999997,0.0543,108.576,1.384,37.22,2.9019999999999997,65.95,31.148000000000003,7.622,0.8790000000000001,0.10999999999999999,19.387999999999998,Active
2.661,1.548,0.026699999999999998,53.442,1.6878,25.086000000000002,5.754,67.94000000000001,26.303999999999995,8.094,0.123,0.0716,3.9692,Active
7.774,4.52,0.0674,134.828,1.468,30.377999999999997,40.077999999999996,45.476,14.447999999999999,7.702000000000001,0.032600000000000004,0.11139999999999999,19.3988,Active
40.80708,23.67,0.3385697,677.1394,1.452,35.2,5.311,59.692600000000006,34.99640000000001,8.376,3.4219999999999997,0.1,27.296,Active
37.421144,21.706,0.3106791,621.3582,1.476,37.718,9.1528,56.2328,34.6144,8.584,6.812,0.096,25.836000000000002,Tidal
1.887,1.097,0.0182,36.62,1.6012,23.534,5.106,70.474,24.419999999999998,8.466,0.13399999999999998,0.0694,3.5804,Tidal
42.458672,24.628,0.3550099,710.0198,1.47,37.736000000000004,5.2174,53.544799999999995,41.2378,8.47,2.976,0.086,28.762,Tidal
40.193336,23.314,0.31119220000000003,622.3843999999999,1.42,42.938,4.1144,50.1372,45.748400000000004,8.36,6.1659999999999995,0.092,28.97,Tidal
3.8600000000000003,2.24,0.0361,72.18,1.6039999999999999,23.46,8.5,66.0,25.5,8.388,0.1122,0.038,2.516,Tidal
13.21,7.68,0.1085,217.024,1.4300000000000002,26.798000000000002,3.946,70.642,25.412,7.203999999999999,0.5564,0.1756,15.0648,Mature
3.221,1.873,0.029,58.056,1.6014,30.183999999999997,3.2560000000000002,62.67,34.074,8.15,0.13999999999999999,0.083,3.9061999999999997,Mature
3.27,1.9,0.0297,59.482,1.572,30.52,23.6,51.9,24.5,8.209999999999999,0.11000000000000001,0.036,2.556,Mature
36.51432,21.18,0.275694,551.388,1.334,35.263999999999996,4.276,42.65,53.074,8.358,4.2,0.11400000000000002,30.96,Mature
2.67,1.55,0.024,48.211999999999996,1.5299999999999998,25.016,14.6,57.9,26.5,8.284,0.133,0.04,2.772,Mature
1.164,0.6759999999999999,0.0109,21.838,1.5346,32.734,14.351999999999999,59.001999999999995,26.538,8.174,0.0634,0.086,4.2546,Moribund
5.436,3.1599999999999997,0.0464,92.73,1.448,23.598,2.666,42.132,55.202,7.970000000000001,0.26959999999999995,0.1296,17.8226,Moribund
3.59,2.1,0.0347,69.496,1.612,28.8,8.9,57.1,34.0,8.216,0.1632,0.062,4.556,Moribund
8.3,4.81,0.0774,154.754,1.626,30.372000000000003,18.0,57.5,26.5,8.044,0.1456,0.034,2.278,Moribund
2.0700000000000003,1.204,0.0201,40.397,1.6740000000000002,25.954,9.304,65.864,24.832,8.722,0.121,0.14579999999999999,5.3388,Moribund
