,Amazon,Chao Phraya,Danube,Indus,Limpopo,Mackenzie,Mississippi,Niger,Parana-Plata,Pearl,Rhine-Meuse,Sacramento,Senegal,Yellow River,Ganges
Amazon,-0.31608283971641504,-0.5593975901099428,-0.2766702578360063,-51.23780511691863,-0.031109263312766755,-0.21208355282199087,-0.7519764707886356,-0.25747147850270413,-0.10942699934229028,-0.011435337414054336,-0.2595916027679184,-0.13087626405370423,-9.764083623857962,-21.29442500047256,-0.3070763451695311
Chao Phraya,-0.7307768059242039,0.09974495985719356,0.0724089735812049,-8.491981818715123,-0.0910682720669207,-0.17918855143507972,-0.024920931969078852,-0.40974474088283275,-0.04094200358730049,-0.6106250133968365,-0.3816977464162423,-0.016111550227801752,-2.4319299478856236,-7.376816589270057,-0.09542362163680274
Danube,-87.40366367712713,-250.56572747505638,0.7883080339272673,-32.165213728344725,-0.7245285562075054,0.41682276923748596,-3.625153935441806,-7.162742236671734,-23.204250363133102,-2.118496896744918,-0.10364945915472012,-0.5421157602842377,-29.109323377289627,-31.34495974760857,-1.5276400641111518
Indus,-0.1977257708238458,-0.04444835403471248,-0.05223727729884242,0.7320630427073824,-0.04800227402955226,-0.26230250367943864,-0.0029550614661999486,-0.0699803642712924,-0.18880153960273316,-0.06912910421652363,-0.34333941360580966,-0.034461331702633435,-0.8438030701270347,-0.3888300992994118,-0.254918639501319
Limpopo,-420.66576855441696,-170.69750036193693,-2.038083774899808,-624.8997781656167,0.36838720644263123,-20.77641689011013,-117.57277552579396,-64.96272142502717,-15.736324688654506,-130.1233850650825,-7.693359889211401,-1.9808783377061507,-842.4225523979528,-399.25356446862526,-2.1797220995662956
Mackenzie,-64.27485709278655,-157.9728778789271,0.280934011065352,-93.08136610019321,-0.696367960883548,-0.09860333110589337,-2.659800056892151,-6.593752703367021,-21.462439671321004,-0.32670832062520394,-0.2951297126284196,-0.8761503655707352,-13.303759550268989,-48.429325215242045,-1.8060971301248552
Mississippi,-18.662354715496612,-14.479997773087264,-0.07362229541434395,-1.2883180858440828,-0.29373792089484474,-2.3075035424774275,-0.24365234915042167,-5.284310263408366,-4.665262509671533,-0.5295360232885251,-0.3347545268498848,-0.1639794106081962,-2.6021378300694264,-1.0736802004243642,-0.41875865212388397
Niger,-7.6520617685143915,-15.927207205479174,0.28381907808383366,-84.75440740271883,-0.14656921086096886,-0.20001284793304364,-0.3296120935171236,0.25122652304022075,-3.7375239826223687,-0.1585459761029866,-0.2933790545170938,-0.3258213978867721,-164.40147860258,-40.96811083840326,-0.10738176318313775
Parana-Plata,-1.8313857733043437,-1.7798826390580285,0.12429373945129363,-5.729732500094342,-0.07246984475228269,-0.048247544846467205,-0.455923898128328,-0.35939896472089283,0.6204396710972192,-0.1301662197318374,-0.3123482456267448,0.10138027841795438,-16.149354029611985,-6.792380035594837,-0.3588857400845904
Pearl,-0.8218681774271075,-1.3724887873675446,0.04866020140067373,-6.924658283168383,-0.005100315761521701,-0.027045247910979953,-0.33237357091720665,-0.18497010195378327,-0.14925388381281546,0.5647595393195852,-0.1511397650909505,0.07669063426729683,-22.27736985766399,-6.944880931635841,-0.02507778986859588
Rhine-Meuse,-147.03883413810885,-325.32980863560687,0.31840953174896014,-40.57310198818889,-0.740663590365702,-1.041401276259582,-5.884005659954581,-20.04646031773785,-14.794461431834215,-60.762731103563254,0.18518259919785562,-0.20478782423481445,-73.57292929497493,-76.17925676551954,-1.786643672035479
Sacramento,-525.8057973528105,-232.93486683055568,0.04539994870873909,-7.736322571899954,-0.5232682154124455,-13.389189374871078,-67.0483556252202,-81.04667367439598,-14.815549485672522,-250.0609179958001,-3.465962222592559,0.8392040467303694,-553.0964316486552,-11.500982528163304,-0.33955668620712287
Senegal,-0.42463628278063426,-0.6105730183899871,-0.1429600375875244,-0.8062104644527224,-0.09263796078815445,-0.43891298260089395,-0.023777530832868488,-0.4990685681587419,-0.7956877578543451,-0.353429581791076,-0.4668157932450423,-0.048402434170709885,0.9936591386800977,-0.29998778539764603,-0.1273399837754532
Yellow River,0.04134382975759088,-0.14276657109895918,-0.12463375422273026,-1.9852848634553966,-0.060951185497587046,-0.18042957790237657,-0.1541007801579315,-0.3066636840315784,-0.27018069217222096,0.03291552749229454,-0.3515593780980866,0.006235187343135551,-0.6810831133680291,-0.2261219898211304,-0.1704886503291687
Ganges,-3.0768295308558837,-0.7189248576325333,-0.04303614652230614,-60.06264792127439,-0.0043016440706535874,-0.21592778326879447,-0.36558275593072764,-0.3890187997760801,-0.42534111285842746,-0.6661639368913501,-0.15645464468030235,-0.08540256683386649,-12.752518404663824,-9.09687961382015,0.042705650725378685
